SUBJECT_ID;Q;Q_EFFICIENT;DELTA_Q;Q_OPTIMAL;DELTA_Q_OPTIMAL;FFS;CAP;MEDICAL_STUDENT;PHYSICIAN;SUBJECT_AGE;FEMALE_SUBJECT;PATIENT_SEVERITY;FEMALE_PATIENT;LIABILITY;LIAB_MEDICALSTUDENT;PHYSICIANS_FAMILY
13;8;5;3;7;1;1;0;0;0;21;1;3;0;0;0;1
13;8;5;3;7;1;1;0;0;0;21;1;3;0;1;0;1
13;2;3;-1;3;-1;0;1;0;0;21;1;1;0;0;0;1
13;5;5;0;5;0;0;1;0;0;21;1;2;1;1;0;1
13;4;5;-1;5;-1;1;0;0;0;21;1;2;1;0;0;1
13;8;5;3;7;1;1;0;0;0;21;1;3;1;1;0;1
14;3;3;0;3;0;1;0;0;0;28;1;1;1;0;0;0
14;3;3;0;3;0;0;1;0;0;28;1;1;1;0;0;0
14;7;5;2;5;2;1;0;0;0;28;1;2;0;1;0;0
14;3;5;-2;7;-4;0;1;0;0;28;1;3;0;1;0;0
14;5;3;2;3;2;1;0;0;0;28;1;1;1;1;0;0
14;2;5;-3;5;-3;0;1;0;0;28;1;2;0;1;0;0
14;7;5;2;7;0;0;1;0;0;28;1;3;1;0;0;0
14;6;5;1;7;-1;1;0;0;0;28;1;3;1;0;0;0
14;3;3;0;3;0;0;1;0;0;28;1;1;1;1;0;0
14;3;3;0;3;0;1;0;0;0;28;1;1;0;0;0;0
14;5;5;0;5;0;0;1;0;0;28;1;2;0;0;0;0
14;4;5;-1;5;-1;1;0;0;0;28;1;2;1;1;0;0
14;8;3;5;3;5;1;0;0;0;28;1;1;0;1;0;0
14;3;5;-2;5;-2;1;0;0;0;28;1;2;0;0;0;0
14;4;5;-1;7;-3;0;1;0;0;28;1;3;1;1;0;0
14;7;5;2;7;0;0;1;0;0;28;1;3;0;0;0;0
14;3;3;0;3;0;0;1;0;0;28;1;1;0;1;0;0
14;5;5;0;5;0;0;1;0;0;28;1;2;1;0;0;0
14;10;5;5;7;3;1;0;0;0;28;1;3;0;1;0;0
14;8;5;3;7;1;1;0;0;0;28;1;3;0;0;0;0
14;2;3;-1;3;-1;0;1;0;0;28;1;1;0;0;0;0
14;8;5;3;5;3;1;0;0;0;28;1;2;1;0;0;0
14;3;5;-2;5;-2;0;1;0;0;28;1;2;1;1;0;0
14;9;5;4;7;2;1;0;0;0;28;1;3;1;1;0;0
15;3;3;0;3;0;0;1;0;0;27;1;1;1;0;0;0
15;2;3;-1;3;-1;1;0;0;0;27;1;1;1;0;0;0
15;7;5;2;5;2;1;0;0;0;27;1;2;0;1;0;0
15;5;5;0;7;-2;0;1;0;0;27;1;3;0;1;0;0
15;3;3;0;3;0;1;0;0;0;27;1;1;1;1;0;0
15;4;5;-1;5;-1;0;1;0;0;27;1;2;0;1;0;0
15;8;5;3;7;1;0;1;0;0;27;1;3;1;0;0;0
15;5;5;0;7;-2;1;0;0;0;27;1;3;1;0;0;0
15;3;3;0;3;0;1;0;0;0;27;1;1;0;0;0;0
15;3;3;0;3;0;0;1;0;0;27;1;1;1;1;0;0
15;6;5;1;5;1;0;1;0;0;27;1;2;0;0;0;0
15;6;5;1;5;1;1;0;0;0;27;1;2;1;1;0;0
15;8;3;5;3;5;1;0;0;0;27;1;1;0;1;0;0
15;7;5;2;5;2;1;0;0;0;27;1;2;0;0;0;0
